name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2021-07-27,32.6,19.6,26,31,19.6,25.4,12.2,46.3,0,0,0,,0,0,35.6,23,195.4,1010.9,16.3,18.1,264.5,22.9,6,,2021-07-27T07:07:37,2021-07-27T21:34:29,0.57,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-28,35.1,20.6,27.7,33.2,20.6,26.9,10.3,36.2,0,0,0,,0,0,36.7,21.1,250.5,1009.4,4.8,17.7,266.4,23,6,,2021-07-28T07:08:32,2021-07-28T21:33:31,0.61,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-29,35.1,22.1,28.5,33.6,22.1,27.8,12.9,42.1,0,0,0,,0,0,36.4,22,207.7,1009.8,1.1,18,264.1,22.6,6,,2021-07-29T07:09:27,2021-07-29T21:32:32,0.66,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-30,34.1,20.1,27.7,31.6,20.1,26.7,8.3,32.3,0,0,0,,0,0,29.5,23.8,232.8,1009.3,0.5,17.8,265.9,23,6,,2021-07-30T07:10:23,2021-07-30T21:31:31,0.7,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-07-31,26.5,18.8,23,26.5,18.8,23,9,42.1,0.001,100,4.17,rain,0,0,39.6,32,286.5,1009.6,31.5,17.7,197.1,17,6,,2021-07-31T07:11:18,2021-07-31T21:30:29,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-01,26.6,14.1,20.3,26.6,14.1,20.3,7.5,48.3,0,0,0,,0,0,29.2,13.3,1.1,1014.3,33,18.4,248.1,21.6,6,,2021-08-01T07:12:14,2021-08-01T21:29:25,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-02,29.5,16.6,23.2,28,16.6,22.8,6.1,35.3,0,0,0,,0,0,25.2,16.7,322.4,1012.6,25.6,17.7,234,20.1,6,,2021-08-02T07:13:11,2021-08-02T21:28:19,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08213099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-03,31.5,19,24.8,29.7,19,24.2,10.1,43.1,0,0,0,,0,0,29.5,20.8,224.1,1013,42.5,16.9,232.5,20,6,,2021-08-03T07:14:07,2021-08-03T21:27:12,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08213099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-04,30.7,21.2,25.9,29.1,21.2,25.4,9.7,38,0,0,0,,0,0,27.4,18.3,291.5,1012.3,32.2,18.3,224.3,19.3,6,,2021-08-04T07:15:04,2021-08-04T21:26:04,0.93,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08221099999,08224099999,C1784,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-05,34.6,19.1,26.7,32.4,19.1,25.8,7.7,32.4,0,0,0,,0,0,35.6,16.7,282.4,1012.4,0.3,18.4,258.4,22.5,6,,2021-08-05T07:16:02,2021-08-05T21:24:55,0.96,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-06,32.8,20,26.6,30.4,20,25.7,5.7,31.8,0,0,0,,0,0,35.6,31.8,237.8,1007.5,2.2,18.2,264.9,22.7,6,,2021-08-06T07:16:59,2021-08-06T21:23:44,0.98,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-07,29.4,18.5,24,27.9,18.5,23.6,6.5,33.8,0,0,0,,0,0,37.4,18.8,257.7,1006.9,25.2,18.5,258.5,22.2,6,,2021-08-07T07:17:56,2021-08-07T21:22:31,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-08,30.2,17.7,23.5,28.3,17.7,23,5.4,33.3,0,0,0,,0,0,25.6,11.1,287,1011.5,18.5,18.4,252.3,21.6,6,,2021-08-08T07:18:54,2021-08-08T21:21:17,1,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-09,33.5,20.4,26.5,31.6,20.4,25.9,13.2,49.6,0,0,0,,0,0,24.1,14.8,140.6,1012.8,27.4,17.8,222.4,19.3,6,,2021-08-09T07:19:52,2021-08-09T21:20:03,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-10,35,22.6,28.4,34.5,22.6,28.1,15,46.4,0,0,0,,0,0,24.5,12,139.9,1012.6,14.6,17.7,235.7,20.2,6,,2021-08-10T07:20:50,2021-08-10T21:18:46,0.02,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-11,38.1,23.6,30.6,36.8,23.6,30,12.9,35.7,0,0,0,,0,0,85.3,23.6,178.5,1013.6,28.1,12,225.9,19.6,6,,2021-08-11T07:21:48,2021-08-11T21:17:29,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-12,37.4,23.1,30,35.1,23.1,28.9,10.1,33.1,0,0,0,,0,0,33.5,25.7,217.7,1014.8,9,15.3,244.2,21.2,6,,2021-08-12T07:22:46,2021-08-12T21:16:10,0.09,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,F7959,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-13,40.7,23.7,31.3,38.7,23.7,30.2,8,24.8,0,0,0,,0,0,34.2,19.3,247.3,1016.6,7.4,16.8,231.3,20.1,6,,2021-08-13T07:23:44,2021-08-13T21:14:51,0.13,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-14,41.3,26.2,32.6,39.2,26.2,31.2,9.3,25.3,0,0,0,,0,0,52.1,24.8,268.6,1015.5,42.8,13.6,205.8,17.7,6,,2021-08-14T07:24:42,2021-08-14T21:13:30,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-15,40.4,25.5,31.8,37.6,25.5,30.4,6.1,23.4,0,0,0,,0,0,41.4,33.7,251.5,1013.4,27.4,16,222,19.2,6,,2021-08-15T07:25:40,2021-08-15T21:12:08,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
madrid,2021-08-16,36.5,21.4,28.7,33.9,21.4,27.5,4.6,23.7,0,0,0,,0,0,31,17.2,3.5,1013.6,12.2,17.8,246.2,21.5,6,,2021-08-16T07:26:38,2021-08-16T21:10:45,0.3,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,08226099999,08219099999,08223099999,08222099999,D9945,08215099999"
